Mentor_Id,UDISE
957364,9650215101
957364,9650220402
957364,9651305301
957396,9651603101
957396,9651603501
957396,9651603701
957396,9651603802
957396,9651603804
957396,9651605002
957402,9651100802
957402,9651100901
957402,9651101901
957402,9651102805
957402,9651102901
957402,9651103903
957432,9650803001
957432,9650803403
957432,9650803602
957432,9650805002
957441,9651603101
957441,9651603501
957441,9651603701
957441,9651603802
957441,9651603804
957441,9651605002
957472,9650907101
957472,9650907302
957472,9650907402
957472,9650907803
957506,9650303302
957506,9650303401
957506,9650303701
957506,9650310801
957528,9651206801
957528,9651206901
957528,9651207101
957528,9651207202
957528,9651207204
957537,9040704401
957537,9040712101
957537,9040714401
957537,9681400501
957537,9681401701
957537,9681402402
957537,9681408001
957537,9681409601
957538,9040305801
957538,9040306401
957538,9680702401
957538,9680707301
957538,9680709102
957549,9680101501
957549,9680102401
957549,9681100102
957549,9681100602
957550,9040911102
957550,9681106301
957550,9681106901
957550,9681107101
957550,9681109201
957550,9681109601
957550,9681109701
957560,9040305801
957560,9040306401
957560,9680702401
957560,9680709102
957562,9040301001
957562,9680700201
957562,9680700303
957562,9680700401
957562,9680700701
957562,9680705001
957562,9680706901
957564,9680101501
957564,9680102401
957564,9681100102
957564,9681100602
957570,9041403701
957570,9041505201
957570,9041505301
957570,9681101401
957570,9681103201
957570,9681103401
957570,9681103601
957570,9681112202
957571,9040802005
957571,9680101002
957571,9680108001
957571,9680109101
957571,9680109601
957571,9680109901
957572,9042000801
957572,9042001101
957572,9681010001
957572,9681011301
957595,9040703601
957595,9040707802
957595,9681701801
957595,9681703701
957595,9681705201
957595,9681707101
957595,9681709501
957607,9040604003
957607,9040606801
957607,9040606807
957607,9680501701
957607,9680516303
957607,9680516503
957607,9680516703
957607,9680516901
957609,9040805201
957609,9680100101
957609,9680100201
957609,9680108202
957609,9680108501
957609,9680108901
957609,9680111201
957613,9042002003
957613,9042002201
957613,9042002401
957613,9042006402
957613,9042012101
957613,9680406201
957613,9680406801
957613,9680407301
957613,9680411301
957620,9040200703
